batchid,Time,Duration,Alarms,Machine,Classification,Triggers,Device,abpcost,dosagecost,Weight,Dosings,pH,tempdis,temprange,Customer,,,,
2603030940,2025-03-03 15:09:17 - 09:00:44,17h 51' 27,0,Unimac 47 (4),Classification 7 (7),,Laundryteam Fluxcomp,0.00 €,4.46 €,35 kg,0,-,-,-,No customer (0),,,,
2503024890,2025-03-03 14:48:55 - 07:52:51,17h 03' 56,0,Tolon No.3 60kg (3),Classification 3 (3),,Laundryteam Fluxcomp,0.00 €,0.50 €,35 kg,0,-,-,-,No customer (0),,,,
2403034550,2025-03-03 15:45:28 - 07:52:51,16h 07' 23,0,Tolon No. 2 60kg (2),Classification 2 (2),,Laundryteam Fluxcomp,0.00 €,0.00 €,35 kg,1,-,-,-,No customer (0),,,,
2403023945,2025-03-03 14:39:29 - 15:41:11,1h 01' 42,0,Tolon No. 2 60kg (2),Classification 2 (2),,Laundryteam Fluxcomp,0.00 €,0.90 €,35 kg,0,-,-,-,No customer (0),,,,
2303020446,2025-03-03 14:04:52 - 14:41:18,36' 26,0,Tolon No.1 60Kg (1),Classification 4 (4),,Laundryteam Fluxcomp,0.00 €,1.00 €,35 kg,0,-,-,-,No customer (0),,,,
2403013949,2025-03-03 13:39:10 - 14:19:26,40' 16,0,Tolon No. 2 60kg (2),Classification 4 (4),,Laundryteam Fluxcomp,0.00 €,1.00 €,35 kg,0,-,-,-,No customer (0),,,,sss
2503014744,2025-03-03 13:47:26 - 14:17:18,29' 52,0,Tolon No.3 60kg (3),Classification 1 (1),,Laundryteam Fluxcomp,0.00 €,1.86 €,35 kg,0,-,-,-,No customer (0),,,,
2603012010,2025-03-03 13:20:25 - 13:56:17,35' 52,0,Unimac 47 (4),Classification 3 (3),,Laundryteam Fluxcomp,0.00 €,0.60 €,35 kg,0,-,-,-,No customer (0),,,,
2303010891,2025-03-03 13:08:30 - 13:47:08,38' 38,0,Tolon No.1 60Kg (1),Classification 4 (4),,Laundryteam Fluxcomp,0.00 €,1.00 €,35 kg,0,-,-,-,No customer (0),,,,
2403124383,2025-03-03 12:43:11 - 13:24:33,41' 22,0,Tolon No. 2 60kg (2),Classification 4 (4),,Laundryteam Fluxcomp,0.00 €,1.00 €,35 kg,0,-,-,-,No customer (0),,,,
2503010044,2025-03-03 13:00:58 - 13:24:33,23' 35,0,Tolon No.3 60kg (3),Classification 2 (2),,Laundryteam Fluxcomp,0.00 €,1.00 €,35 kg,0,-,-,-,No customer (0),,,,
2603122657,2025-03-03 12:26:07 - 12:59:29,33' 22,0,Unimac 47 (4),Classification 1 (1),,Laundryteam Fluxcomp,0.00 €,1.86 €,35 kg,0,-,-,-,No customer (0),,,,
2303121115,2025-03-03 12:11:33 - 12:47:50,36' 17,0,Tolon No.1 60Kg (1),Classification 3 (3),,Laundryteam Fluxcomp,0.00 €,0.60 €,35 kg,0,-,-,-,No customer (0),,,,
